"","date","number"
"1",2020-07-09,7
"2",2020-07-10,45
"3",2020-07-11,6
"4",2020-07-12,21
"5",2020-07-13,41
"6",2020-07-14,45
"7",2020-07-15,46
"8",2020-07-16,11
"9",2020-07-17,59
"10",2020-07-18,10
"11",2020-07-19,2
"12",2020-07-20,17
"13",2020-07-21,8
"14",2020-07-22,8
"15",2020-07-23,10
"16",2020-07-24,19
"17",2020-07-25,16
"18",2020-07-26,25
"19",2020-07-27,22
"20",2020-07-28,32
"21",2020-07-29,41
"22",2020-07-30,27
"23",2020-07-31,80
"24",2020-08-01,6
"25",2020-08-02,2
"26",2020-08-03,9
"27",2020-08-04,14
"28",2020-08-05,16
"29",2020-08-06,0
"30",2020-08-07,0
"31",2020-08-08,7
"32",2020-08-09,0
"33",2020-08-10,9
"34",2020-08-11,12
"35",2020-08-12,9
"36",2020-08-13,27
"37",2020-08-14,32
"38",2020-08-15,28
"39",2020-08-16,49
"40",2020-08-17,22
"41",2020-08-18,58
"42",2020-08-19,26
"43",2020-08-20,32
"44",2020-08-21,25
"45",2020-08-22,2
"46",2020-08-23,1
"47",2020-08-24,19
"48",2020-08-25,69
"49",2020-08-26,68
"50",2020-08-27,30
"51",2020-08-28,37
"52",2020-08-29,22
"53",2020-08-30,39
"54",2020-08-31,60
"55",2020-09-01,18
"56",2020-09-02,2
"57",2020-09-03,18
"58",2020-09-04,37
"59",2020-09-05,58
"60",2020-09-06,48
"61",2020-09-07,33
"62",2020-09-08,77
"63",2020-09-09,50
